chrom,start,end,symbol,distance_to_TSS
chr1,31060900,31061632,7SK,27990
chr1,31151125,31151821,SDC3,2593
chr1,31441934,31442550,NKAIN1,42743
chr1,31475028,31475492,NKAIN1,9725
chr1,31504010,31504842,RP11-490K7.4,4689
chr1,31613865,31614206,FABP3,4474
chr1,31614208,31614939,FABP3,3936
chr1,31658374,31658679,SERINC2,3528
chr1,31899401,31900122,PEF1,16698
chr1,31939578,31940116,COL16A1,2659
chr1,31983174,31983906,BAI2,18987
chr1,32068584,32069015,SPOCD1,14590
chr1,32069017,32069743,SPOCD1,15171
chr1,32080920,32081651,SPOCD1,27076
chr1,32118401,32118909,AL136115.21,33105
chr1,32176770,32177287,PTP4A2,454
chr1,32571073,32571524,MARCKSL1,3122
chr1,32644794,32645169,RP11-395N6.1,3679
chr1,33243898,33244277,RP4-803A2.2,18948
chr1,33246231,33246940,AL020995.14,21178
chr1,34934463,34935007,hsa-mir-552,26854
chr1,35025674,35026124,GJA4,5286
chr1,35026583,35026852,GJA4,4468
chr1,35063157,35063727,GJA4,32257
chr1,35063729,35064283,GJA4,32821
chr1,35104526,35105045,C1orf212,6852
chr1,35831678,35832406,TFAP2E,20485
chr1,36442269,36442602,THRAP3,20190
chr1,36646346,36647290,U4,5772
chr1,36837166,36837552,RP4-655C4.1,31163
chr1,37276872,37277309,GRIK3,4660
chr1,37496521,37496780,AL353604.18,6323
chr1,37733384,37734287,AL034379.8,5720
chr1,37851058,37851838,GNL2,17340
chr1,37892271,37892650,RSPO1,19279
chr1,37961350,37961997,Y_RNA,14639
chr1,38031302,38032060,MANEAL,679
chr1,38055598,38056189,YRDC,9442
chr1,38073057,38073769,RP11-109P14.8,5831
chr1,38361674,38361975,RP5-884C9.3,42653
chr1,38361977,38362550,RP5-884C9.3,43092
chr1,38659720,38660563,U6,25224
chr1,39381033,39381629,5S_rRNA,11223
chr1,40379309,40380050,RP11-115D7.3,8659
chr1,40934404,40935352,AL031289.1-2,4611
chr1,41042221,41042699,SRP_euk_arch,644
chr1,41157476,41158249,RP11-348A7.1,20159
chr1,41161942,41162614,RP11-348A7.1,15743
chr1,41601605,41602009,FOXO6,1627
chr1,41733915,41734363,EDN2,11256
chr1,41734569,41735158,EDN2,11980
chr1,41739340,41739752,EDN2,16663
chr1,41739784,41740288,EDN2,17153
chr1,42390225,42390952,GUCA2B,1090
chr1,42895614,42896237,PPIH,709
chr1,42896239,42896721,PPIH,154
chr1,43231787,43232500,U6,2448
chr1,44069237,44069717,RP4-654J19.1,20514
chr1,44167697,44168192,ARTN,3634
chr1,44168194,44168444,ARTN,3259
chr1,44305882,44306473,RP5-1198O20.5,20174
chr1,45057725,45057891,U5,447
chr1,45057893,45058128,U5,245
chr1,45542879,45543607,HPDL,21888
chr1,45547535,45548425,HPDL,17151
chr1,45567771,45568322,HPDL,2915
chr1,45755133,45755710,PRDX1,4774
chr1,45757662,45758010,PRDX1,2359
chr1,46090978,46091641,RP11-735A5.1,5443
chr1,46644254,46644619,AL122001.32-2,10318
chr1,46716824,46717381,DMBX1,28152
chr1,46996369,46996723,RP11-8J9.5,16094
chr1,47688143,47689228,FOXD2,14410
chr1,48010151,48010657,AL691459.25,29476
chr1,48020363,48020974,AL691459.25,19212
chr1,51535698,51536163,AL671986.7-2,11088
chr1,51536165,51536196,AL671986.7-2,10838
chr1,51536198,51536320,AL671986.7-2,10759
chr1,51544842,51546172,AL671986.7-2,1511
chr1,51559644,51560174,AL671986.7-2,12891
chr1,51779959,51780782,AC104170.2,3382
chr1,51805703,51806436,OSBPL9,9369
chr1,53650026,53650900,RP4-796B4.1,27170
chr1,54728908,54729814,AC099796.2,9535
chr1,56759292,56759872,RP11-213P13.1,17129
chr1,56786231,56786664,RP11-213P13.1,9736
chr1,57026819,57027367,C1orf168,30538
chr1,57049391,57050209,C1orf168,7831
chr1,60094804,60095594,HOOK1,42079
chr1,60174910,60175273,AC113175.2-2,1326
chr1,61880558,61880984,RP11-430G17.1,11637
chr1,61880986,61881073,RP11-430G17.1,11379
chr1,64674502,64675304,CACHD1,34159
chr1,65117599,65118242,RP11-182I10.1,38792
chr1,65221440,65222123,AL606517.14,2569
chr1,65282320,65283488,hsa-mir-101-1,13874
chr1,65856915,65857736,RP11-430H12.2,40675
chr1,67847436,67847945,AL139258.13-1,47708
chr1,70394932,70395529,AL353771.8-1,23479
chr1,74890769,74891596,C1orf173,20827
chr1,77010678,77011332,U6,19594
chr1,81405196,81406020,RP3-445O10.1,41232
chr1,84997838,84998715,AC104169.2,33193
chr1,85742564,85743148,DDAH1,39446
chr1,87712827,87713190,5S_rRNA,21365
chr1,88747448,88748242,RP11-76N22.1,10899
chr1,89843961,89844322,LRRC8C,27100
chr1,89981317,89981934,AC093423.2,24839
chr1,93232313,93232674,AC093577.2-2,9984
chr1,94146571,94147074,GCLM,777
chr1,94147076,94147637,GCLM,243
chr1,94595574,94596551,RP11-366L18.1,48957
chr1,95362983,95363810,Y_RNA,356
chr1,101441959,101442940,AL109741.19-1,24459
chr1,107401200,107401460,PRMT6,507
chr1,107401889,107402010,PRMT6,1126
chr1,107402012,107402282,PRMT6,1324
chr1,108280455,108281374,VAV3,28153
chr1,108543289,108543887,SLC25A24,908
chr1,108897868,108898692,FAM102B,5953
chr1,109459657,109460415,KIAA1324,1981
chr1,109481923,109482583,KIAA1324,24198
chr1,109495066,109496002,KIAA1324,37479
chr1,109496384,109496988,KIAA1324,38631
chr1,109543194,109543777,SARS,14577
chr1,109584046,109584142,CELSR2,10069
chr1,109584144,109584316,CELSR2,9933
chr1,109584318,109584763,CELSR2,9623
chr1,109590097,109590893,CELSR2,3668
chr1,109594965,109595416,CELSR2,1027
chr1,109618831,109619106,PSRC1,8362
chr1,109619108,109619333,PSRC1,8110
chr1,109630990,109631489,PSRC1,3909
chr1,110069474,110070083,GSTM5,13391
chr1,110294429,110295395,AHCYL1,33918
chr1,110442592,110442954,UBL4B,13811
chr1,110510120,110510525,SLC6A17,15692
chr1,110536512,110537223,KCNC4,18720
chr1,110589840,110590630,SNORA25,26393
chr1,110682590,110682865,RBM15,4689
chr1,110879803,110880237,KCNA10,17038
chr1,110956674,110957215,KCNA2,18674
chr1,111090679,111091270,Y_RNA,17676
chr1,111127527,111128170,Y_RNA,19198
chr1,111852827,111853271,U6,18482
chr1,111857085,111857607,U6,22779
chr1,111857609,111858310,U6,23392
chr1,111858665,111859419,U6,24475
chr1,112322945,112323332,KCND3,10161
chr1,113057479,113058126,PPM1J,1670
chr1,113561518,113562079,RPS15P1,18829
chr1,113732863,113733292,MAGI3,1920
chr1,114320521,114321642,OLFML3,2471
chr1,114344462,114345046,RP4-590F24.2,1628
chr1,115013982,115014180,DENND2C,173
chr1,115014182,115014345,DENND2C,9
chr1,115014535,115015011,DENND2C,519
chr1,115060916,115061193,NRAS,17
chr1,115101015,115101415,CSDE1,931
chr1,115102180,115102246,CSDE1,67
chr1,115102248,115102607,CSDE1,281
chr1,115124938,115125278,RP5-1000E10.4,280
chr1,115373085,115373801,TSHB,494
chr1,116009647,116009987,VANGL1,23721
chr1,116155326,116155710,NHLH2,32542
chr1,116155712,116155779,NHLH2,32315
chr1,116159940,116160300,NHLH2,27940
chr1,116352911,116353408,SLC22A15,32518
chr1,116354617,116355485,SLC22A15,34410
chr1,116612231,116612908,AL355538.13-1,10181
chr1,116634183,116634617,U3,11650
chr1,116843300,116843907,AL390066.5-1,34633
chr1,116852702,116853229,AL390066.5-1,25271
chr1,116996626,116997207,IGSF3,14920
chr1,116997209,116997709,IGSF3,14377
chr1,117135905,117136485,RP4-655N15.3,16428
chr1,117203147,117203634,AL157904.24,45904
chr1,117223878,117224267,AL157904.24,25222
chr1,117328795,117329201,IGSF2,16906
chr1,117357198,117358047,IGSF2,11718
chr1,117362234,117362708,IGSF2,16567
chr1,117525816,117526478,VTCN1,28928
chr1,117569977,117570593,VTCN1,15210
chr1,117612868,117613666,SRP_euk_arch,25615
chr1,117934372,117934746,FAM46C,15567
chr1,117936498,117936715,FAM46C,13520
chr1,117936717,117936833,FAM46C,13351
chr1,118103155,118103540,AL390877.1,19303
chr1,118161740,118162289,AL390877.1,39364
chr1,119814928,119815416,AL359553.14-2,3806
chr1,119815418,119815718,AL359553.14-2,4202
chr1,120124057,120124815,HMGCS2,11396
chr1,120127436,120128223,HMGCS2,14789
chr1,143245365,143246056,U1,316
chr1,143641676,143642306,U2,14037
chr1,143643993,143644190,U2,11937
chr1,143644301,143644567,U2,11594
chr1,143644569,143644914,U2,11287
chr1,143700877,143701258,U2,45039
chr1,143704233,143704747,U2,48462
chr1,143704817,143705218,U2,48989
chr1,143741140,143742028,PDE4DIP,45967
chr1,143750734,143750979,PDE4DIP,36695
chr1,143750981,143751017,PDE4DIP,36552
chr1,143751019,143751198,PDE4DIP,36443
chr1,143751200,143751416,PDE4DIP,36243
chr1,143770249,143771090,PDE4DIP,16882
chr1,144094086,144094572,U1,216
chr1,144107069,144107313,U1,13078
chr1,144107315,144107808,U1,13448
chr1,144107810,144108292,U1,13938
chr1,144110553,144111081,HFE2,13810
chr1,144168520,144168779,POLR3GL,13094
chr1,144168781,144169022,POLR3GL,12842
chr1,144181521,144181757,POLR3GL,104
chr1,144254370,144254475,ANKRD35,6150
chr1,144254477,144254801,ANKRD35,5933
chr1,144321827,144322120,POLR3C,320
chr1,144322122,144322464,POLR3C,0
chr1,144437397,144438581,CD160,11019
chr1,145022772,145023202,U1,61
chr1,145048145,145048358,RP11-325P15.3,14479
chr1,145110463,145111069,PRKAB2,14
chr1,145476851,145477232,BCL9,2764
chr1,145477529,145478198,BCL9,1942
chr1,145608078,145608635,ACP6,631
chr1,145608637,145608748,ACP6,295
chr1,145608750,145608888,ACP6,168
chr1,145655271,145655778,AL365260.11,27517
chr1,145655810,145656514,AL365260.11,28155
chr1,145658556,145659080,AL365260.11,30811
chr1,146193957,146194494,U1,8149
chr1,146202398,146202567,U1,108
chr1,146202569,146203057,U1,439
chr1,146608164,146608446,U1,217
chr1,147476158,147476657,AL356957.27-5,2237
chr1,147490057,147490386,U1,623
chr1,147490388,147491042,U1,129
chr1,148123854,148124181,HIST2H2BE,808
chr1,148124183,148124318,HIST2H2BE,575
chr1,148125028,148125493,HIST2H2AC,112
chr1,148138029,148138144,HIST2H2AB,11997
chr1,148138146,148138242,HIST2H2AB,12105
chr1,148138244,148138501,HIST2H2AB,12283
chr1,148154062,148154443,SV2A,1805
chr1,148249163,148249502,OTUD7B,23
chr1,148254535,148255097,OTUD7B,5507
chr1,148255851,148256812,OTUD7B,7022
chr1,148402053,148402675,PLEKHO1,14368
chr1,148452509,148452713,SRP_euk_arch,2058
chr1,148452715,148452963,SRP_euk_arch,2286
chr1,148474998,148475439,ANP32E,135
chr1,148532467,148533094,MRPS21,112
chr1,148603168,148603362,RPRD2,55
chr1,148703767,148704280,TARS2,22493
chr1,148726008,148726561,TARS2,232
chr1,149050566,149051221,U6,904
chr1,149220864,149221373,ANXA9,59
chr1,149243076,149243650,FAM63A,2593
chr1,149245017,149245481,FAM63A,707
chr1,149245483,149245888,FAM63A,271
chr1,149245890,149245932,FAM63A,45
chr1,149245934,149246149,FAM63A,85
chr1,149247014,149247618,PRUNE,260
chr1,149493329,149493801,PSMD4,243
chr1,149568935,149569736,PI4KB,2521
chr1,149753075,149753564,CGN,2823
chr1,149753566,149753651,CGN,3112
chr1,150005554,150006072,MRPL9,3150
chr1,150029094,150029647,TDRKH,1145
chr1,150029788,150030181,TDRKH,531
chr1,150040007,150040530,LINGO4,4237
chr1,150076012,150076398,Y_RNA,4731
chr1,150078784,150078996,Y_RNA,2046
chr1,150233168,150233731,S100A10,112
chr1,150238127,150238453,S100A10,4953
chr1,150240984,150241412,S100A10,7861
chr1,150286880,150287401,S100A11,11006
chr1,150291716,150292141,S100A11,15794
chr1,150982307,150982675,RP1-43O17.2,907
chr1,150982677,150982968,RP1-43O17.2,576
chr1,151603323,151603781,S100A9,6599
chr1,151604434,151604975,S100A9,7751
chr1,151749928,151750633,SRP_euk_arch,10417
chr1,151759275,151759995,S100A6,15708
chr1,152433100,152433486,hsa-mir-190b,451
chr1,152568286,152568591,ATP8B2,3785
chr1,152568593,152568913,ATP8B2,4100
chr1,152579578,152580177,ATP8B2,15224
chr1,153101959,153102581,KCNN3,7107
chr1,153180540,153181333,PMVK,4829
chr1,153330093,153330634,EFNA3,12392
chr1,153927077,153927420,DAP3,1776
chr1,154227367,154227992,ARHGEF2,1192
chr1,154338676,154339146,LMNA,19919
chr1,154519237,154519596,TMEM79,54
chr1,154852951,154853374,HAPLN2,2547
chr1,155067476,155068316,SH2D2A,14647
chr1,155078917,155079856,INSRR,15903
chr1,155156545,155157059,C1orf92,245
chr1,155222097,155222764,SRP_euk_arch,34
chr1,158297793,158298419,KCNJ10,8478
chr1,158671136,158672016,VANGL2,34589
chr1,159072688,159073393,RP11-312J18.3,11384
chr1,159355196,159355431,NIT1,799
chr1,159355433,159355676,NIT1,1040
chr1,159802793,159803035,FCGR3A,15910
chr1,159884197,159884790,FCGR2B,15081
chr1,159957871,159958546,FCRLB,232
chr1,160566066,160566905,hsa-mir-556,12474
chr1,161083354,161083863,C1orf110,21620
chr1,162942832,162943303,AL391001.12-1,3893
chr1,162951973,162952720,AL391001.12-1,13172
chr1,162983980,162984568,AL391001.12-1,45100
chr1,162984570,162985233,AL391001.12-1,45727
chr1,163563950,163564644,LMX1A,28278
chr1,163602827,163603932,LMX1A,10804
chr1,163725856,163726793,RP11-541H12.1,7260
chr1,164275665,164276260,5S_rRNA,2142
chr1,164839195,164839903,FMO9P,1068
chr1,164977290,164977903,RPL4P2,5621
chr1,167002476,167003041,AL049798.7,19015
chr1,167142904,167143469,RP11-375F2.1,9189
chr1,167344749,167345222,ATP1B1,3427
chr1,167765086,167765865,Z99572.1,43472
chr1,167926118,167926481,SELL,21161
chr1,169494320,169494727,Y_RNA,4739
chr1,170866232,170867217,FASLG,28052
chr1,170875239,170875416,FASLG,19449
chr1,170875418,170875936,FASLG,19099
chr1,170982174,170982828,RP3-332O11.1,1821
chr1,171712679,171713071,PRDX6,233
chr1,171735370,171736235,PRDX6,22694
chr1,172103952,172104499,ZBTB37,383
chr1,172254182,172255019,RC3H1,25768
chr1,174566460,174567284,RP11-357J22.1,25019
chr1,175299783,175300224,hsa-mir-488,34800
chr1,176267777,176268286,AL359075.15,5676
chr1,176961382,176962017,RALGPS2,777
chr1,178101995,178102886,AL359853.18-1,11098
chr1,178110299,178111426,AL359853.18-1,2676
chr1,178402493,178402817,QSOX1,12065
chr1,178402819,178402945,QSOX1,12292
chr1,178403221,178403578,QSOX1,12809
chr1,178403580,178404375,QSOX1,13387
chr1,178410208,178410616,QSOX1,19822
chr1,178464202,178464783,LHX4,1572
chr1,179362693,179363281,IER5,38517
chr1,179369300,179369946,IER5,45153
chr1,179676646,179677050,AL160059.7-3,18182
chr1,180550898,180551491,U6,11631
chr1,180839576,180840018,RGS16,335
chr1,180869471,180870067,RGS16,29637
chr1,180881910,180882510,RGS8,29666
chr1,180882588,180882987,RGS8,29089
chr1,180906632,180907319,RGS8,4901
chr1,181189180,181189864,C1orf14,347
chr1,181258005,181258463,LAMC1,983
chr1,181259597,181260203,LAMC1,683
chr1,181458659,181459157,LAMC2,37112
chr1,181485269,181485709,RP11-548N1.1,16870
chr1,181517288,181517633,RP11-548N1.1,15101
chr1,181690128,181690878,SMG7,17753
chr1,181707735,181708137,SMG7,320
chr1,181841442,181842276,NCF2,15226
chr1,182608967,182609403,C1orf21,13587
chr1,182644229,182644866,AL078645.31,20957
chr1,182783578,182783944,GS1-115G20.2,18506
chr1,183553302,183553622,IVNS1ABP,372
chr1,183553624,183553766,IVNS1ABP,605
chr1,183881868,183882653,Y_RNA,12324
chr1,184898482,184899178,PTGS2,17348
chr1,185931632,185932163,RP11-393M18.4,10417
chr1,191294959,191295197,TROVE2,297
chr1,195267948,195268787,F13B,34652
chr1,196891167,196891934,PTPRC,17127
chr1,197175103,197175673,AC096631.2,9504
chr1,198107016,198107724,RP11-567B20.1,5358
chr1,198144919,198145298,RP11-567B20.2,437
chr1,198154309,198154821,RP11-567B20.2,9894
chr1,198230814,198231377,U6,13265
chr1,198252425,198253312,U6,2323
chr1,198342570,198343075,AC096633.2-3,37762
chr1,198349998,198351152,AC096633.2-3,30009
chr1,198354586,198354923,AC096633.2-3,25830
chr1,198572559,198573581,AC097065.2-1,8459
chr1,198664807,198665656,ZNF281,19443
chr1,199124766,199125202,C1orf106,2307
chr1,199171819,199172318,U6,2871
chr1,199280922,199281489,KIF21B,21755
chr1,199295712,199296233,KIF21B,36522
chr1,199321871,199322259,CACNA1S,26251
chr1,199385163,199385490,TMEM9,21998
chr1,199392272,199392716,TMEM9,14830
chr1,199405579,199406237,TMEM9,1416
chr1,199589105,199589774,TNNT2,23991
chr1,199730971,199731663,CSRP1,13889
chr1,199833800,199834176,NAV1,25235
chr1,200251754,200252404,ELF3,8384
chr1,200254540,200254571,RP11-510N19.2,9801
chr1,200254573,200254923,RP11-510N19.2,9608
chr1,200258934,200259707,RP11-510N19.2,5036
chr1,200294464,200294847,RP11-510N19.3,19054
chr1,200341051,200341696,RP11-510N19.4,8864
chr1,200342107,200342641,RP11-510N19.4,9865
chr1,200343060,200343389,RP11-510N19.4,10715
chr1,200343498,200343651,RP11-510N19.4,11065
chr1,200343653,200343909,RP11-510N19.4,11272
chr1,200343944,200344563,RP11-510N19.4,11744
chr1,200348579,200349168,GPR37L1,9778
chr1,200367829,200368154,GPR37L1,9340
chr1,200368156,200368326,GPR37L1,9590
chr1,200368328,200368976,GPR37L1,10001
chr1,200437701,200438653,AL356953.17-1,4696
chr1,200462143,200462604,AL356953.17-2,5045
chr1,200462659,200463127,AL356953.17-2,4525
chr1,200489718,200490686,AL356953.17-2,22784
chr1,200503557,200504350,AL356953.17-2,36535
chr1,200505402,200505995,AL356953.17-2,38280
chr1,200571002,200571975,UBE2T,6218
chr1,200824881,200825617,AC118556.2,2814
chr1,201295099,201295636,MYOG,26632
chr1,201322438,201322825,MYOG,632
chr1,201322827,201323105,MYOG,967
chr1,201325041,201325734,ADORA1,1017
chr1,201337593,201338428,ADORA1,11606
chr1,201381716,201382305,MYBPH,29554
chr1,201520407,201520846,BTG2,20660
chr1,201754895,201755859,OPTC,25484
chr1,201835689,201836316,ATP2B4,26309
chr1,201841163,201841841,ATP2B4,20809
chr1,202167565,202168354,RP11-450D21.2,22431
chr1,202365808,202366403,ETNK2,21648
chr1,202368034,202368368,ETNK2,19552
chr1,202376897,202377635,ETNK2,10487
chr1,202380903,202381662,ETNK2,6471
chr1,202384602,202384929,ETNK2,2988
chr1,202384962,202385382,ETNK2,2581
chr1,202416317,202416817,RP11-203F10.1,2189
chr1,202616278,202616831,RP11-739N20.3,13737
chr1,202616833,202617404,RP11-739N20.3,13173
chr1,202999443,202999988,SCARNA20,35974
chr1,203771838,203772652,PCTK3,31896
chr1,203821082,203821619,U6,9441
chr1,204182709,204183338,SLC26A9,3813
chr1,204364354,204365090,RP11-38J22.2,18046
chr1,204476941,204477377,CTSE,6922
chr1,204719258,204719537,IKBKE,8979
chr1,204761340,204761660,RP11-534L20.4,7370
chr1,204851981,204852422,LGTN,325
chr1,204852424,204852585,LGTN,22
chr1,204871125,204871510,DYRK3,4587
chr1,204928847,204929261,MAPKAPK2,4143
chr1,204931578,204932035,RP11-343H5.4,3998
chr1,204970657,204971243,Y_RNA,17109
chr1,205036782,205037412,IL19,1740
chr1,205081884,205082436,IL20,23161
chr1,205083629,205084499,IL20,21257
chr1,205087492,205088314,IL20,17418
chr1,205104670,205105181,IL20,396
chr1,205105183,205105535,IL20,38
chr1,205135353,205135778,IL24,1846
chr1,205135780,205136320,IL24,1361
chr1,205138508,205139102,IL24,1394
chr1,205141175,205141689,IL24,4021
chr1,205141691,205141951,IL24,4410
chr1,205149212,205149459,RPL13AP8,1749
chr1,205149461,205149527,RPL13AP8,1908
chr1,205149655,205150102,RPL13AP8,2292
chr1,205150104,205150210,RPL13AP8,2571
chr1,205481504,205482171,RP11-6J21.1,16072
chr1,205556046,205556573,CD55,5178
chr1,205561052,205561518,CD55,202
chr1,206190921,206191311,CD34,39811
chr1,207786180,207786863,CAMK1G,37146
chr1,209353355,209354141,KCNH1,20331
chr1,209498867,209499314,RCOR3,435
chr1,209742390,209742859,RD3,9743
chr1,209761418,209762169,RD3,28912
chr1,209843539,209844117,SLC30A1,25107
chr1,210168287,210168655,RP11-565J7.1,7742
chr1,210317829,210318660,AL606468.8,21395
chr1,210378251,210379157,AL606468.8,39065
chr1,210706952,210707399,NENF,34273
chr1,210797751,210798386,ATF3,7251
chr1,212224845,212225558,PROX1,3281
chr1,212567318,212568080,SMYD2,46501
chr1,213241473,213241894,KCNK2,3824
chr1,213241896,213241968,KCNK2,3575
chr1,213241970,213242239,KCNK2,3403
chr1,213665123,213665802,RP11-199H2.1,49013
chr1,213780267,213780861,KCTD3,26793
chr1,213806743,213807579,KCTD3,196
chr1,213823176,213824018,KCTD3,16240
chr1,215365794,215366347,ESRRG,11649
chr1,215871023,215871320,SPATA17,117
chr1,217900941,217901682,AC096643.2-2,2030
chr1,218577732,218578336,RPLP0P5,20471
chr1,221389198,221389513,TLR5,6109
chr1,221675599,221676251,C1orf65,42535
chr1,221909484,221910172,CAPN8,10187
chr1,221937765,221938464,U6,6261
chr1,222458934,222459682,DEGS1,21758
chr1,223158281,223159008,DNAH14,25347
chr1,223177948,223178865,DNAH14,5585
chr1,223704588,223705566,LBR,21936
chr1,225200267,225201077,RP5-1087E8.2,11918
chr1,225235088,225235605,RP5-1087E8.2,22756
chr1,226188770,226189527,WNT9A,13073
chr1,226686009,226686857,HIST3H3,6785
chr1,226938300,226939165,RHOU,1242
chr1,227350478,227350999,AL162595.17-1,33285
chr1,227363849,227364611,AL162595.17-1,19793
chr1,227364613,227365452,AL162595.17-1,18991
chr1,227367725,227368371,AL162595.17-1,15975
chr1,227423527,227423859,TMEM78,28312
chr1,227423861,227424097,TMEM78,28026
chr1,227425751,227426595,TMEM78,25832
